,Unnamed: 0,review_id,user_id,city,rest_id,photos,date,rating,text
634429,634429,P6pV9srD0FzWJ-KNakZBKA,yNraV5fC6-0m-kgF5P7hqA,singapore,GmpBunV1gzYOB9QSCo-uPQ,"['FcdsNTtQp0xS3rLol0UkXQ', 'yunGsNU38ZIMR8_RUKRcJw', 'TWVyeIooiWol-gZMWqdatQ']",9/28/2018,5.0,always been a big supporter of wolf.   would drive distant to get my buger fix.   today was just a big disappointment.  got a soggy burger unlike wolf's standard.   whoever cooked the burger needs to be retrained.   not letting the meat rest could be the ussue here.  9/4Well i previously gave a 1 star due to an absolutely soggy french dip burger but got a message/email from the owner himself inviting to make good and make good they did!!! Kudos to a biz/owner that can be bothered with customer feedback.  Really do appreciate the boss taking the initiative to engage the customer and for that not only he won back a loyal customer and i am sure i shall be spreading the Wolf Gospel so to speak - thank you.Sep 29th '18Checked in again for the usual Double and Shroom with Sweet potatoe fries.   Glad to report all good.
634431,634431,D75UDJnLMktVi_QRI2m6HQ,EleQKGrUDo_-zvpfOVHYMQ,singapore,GmpBunV1gzYOB9QSCo-uPQ,"['JlDaDQz2VdPAUwZst_6b1g', 'QTJYCbVaCivmAjArqn2dvA', 'QE3WsGmFowiVC2vzqvP-kQ']",12/2/2016,5.0,"Located at the Pasarbella enclave at Suntac city producing marvelously crafted burgers.  The mushroom  burger's patty is medium rare cooked, very delicious, coated with melted cheers with sliced sautéed mushroom piled on to and sandwiched with beautifully puffy and light bun.  Over all the combination of smells, tastes and textures are so well put together that the burger rank up with the best I've had.  The buttermilk chicken burger is equally well crafted with a crispy from the outside succulent from the inside and very tasty.This is my new go-to burger place!"
634432,634432,YxME04xDk0jsd9RRNhICeQ,nzIq7_i0C79ToOp-U5e0fA,singapore,GmpBunV1gzYOB9QSCo-uPQ,['u_s_BiBZUXcyjlfvvfEGYQ'],6/9/2016,4.0,"What a fun burger place at Suntec's Pasarbella!I came in wanting to try their signature Wolf Burger, but the staff was very good in convincing me to their their Alpha burger, which is their take on a double cheeseburger. Apparently they use a completely different beef for it, which could be why it's higher priced.I wish I could've had my burger done medium, but I went for well-done just for pregnancy precautions (I know... I know...)The burger itself was still very good; juicy and filling (after all, I was eating 2 patties; one for me, one for baby!) I'm pretty sure it'd be better if you order it medium!Unfortunately the sweet potato fries were a miss. They tasted good, but they were either overcooked or not fresh, as there was no crispness in the fry. Maybe it's best to just stick to their regular fries, more turnover = fresher?"
634434,634434,XsL_yLWR-R2PQPTViR_k1w,OTx8lNo-62V2rmAKkvAb1A,singapore,GmpBunV1gzYOB9QSCo-uPQ,[],7/17/2016,4.0,"I'm not a burger person which is why I was impressed by the chicken burger here. Good quality ingredients, delicious, filling. My friends had beef burgers which they enjoyed too. Kimchi fries were not so good though. The fries were thin and airy (i guess it's the generic frozen kind) and the sauce was average."
634435,634435,2ct7WKqD3dew0-sVMk9LRA,qSpZMKP3Pse6CZh1uQuziw,singapore,GmpBunV1gzYOB9QSCo-uPQ,[],6/20/2016,4.0,"Came across Wolf Burgers at Pasarbella on a day I was meant to have a salad. I have no regrets on this one. I never say No to a burger experience. Prices are very reasonable.The Wolf was my first try and what made me fall in love with first bite. They suggested to go with Medium rare which makes the patty a melt-in-your-mouth-experience. The combination of the beef juices, cheddar cheese and caramelised onions all soaking the bun, makes it one of my favourite burgers in Singapore. Your hands will get messy, so make sure to have napkins on hand. Tried the Buttermilk Fried Chicken on another occasion. The salted egg mayo and homemade slaw makes all the difference and what puts it above other chicken type burgers I've had from other joints. I can't fully describe this as you have to try it to be the judge. Side of sweet potato fries never goes wrong, but I've always struggled to finish it cos the burgers make me 3/4 full. Staff is friendly. Price is reasonable. Even if Pasarbella is crowded, if you have patience...wait til you get a table, otherwise, have it to go."
634436,634436,HUrlOKZ38NeWIGAZzmooVQ,O3u5ZjtLtuEtV6J-Bc5gdg,singapore,GmpBunV1gzYOB9QSCo-uPQ,[],5/29/2016,5.0,"Holy shit their magic shrromz burger is just amazing. The meat is just perfect and the truffle hits you like a truck when you take the first bite. Their basic burger is not too bad, but it really can't beat their mushroom one. The salted egg yolk butter milk fried chicken isn't too bad either, but not really super salted egg yolks."
634437,634437,MBKuYINEAQyzDZvAJAKBrQ,Y4pO9yZociD96rtJ5vRyDw,singapore,gPmD_yz_3DK6q8gmCfjpOA,['hdnC9gmUN6t7fc5MrCvmhQ'],10/1/2018,4.0,"Prices are highish for a pretty basic eatery; the meat is good but not the best; after all these years, service is still haphazard. But it's all worth it, because they definitely make the best fresh noodles in Singapore - so springy It energises! This mee is for me lah! Did the chefs who knead the dough undergo the same training as the master therapists who knead your feet at Footworks next door?"
634438,634438,UVVHwy5-UwxBuCZv1Ux7Kw,ij3UcrQUXl7YBoBTcH89rQ,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['Ns9moyY5jgMZbp8xWi7-VA', 'UwjdhhWdeM0I0yQS8XxmWg', 's1dCwSm9b_S-kpeaLLZqmA']",2/16/2016,3.0,"Nice ambience. Has music.They took a Long time with the noodles when there was no crowd. Wonder why. Dry prawn noodles - love love the texture of the noodles is very good (springy). Soup came with a piece of turnip, hint of taste of prawn. Prawns were sliced at the back and one would have thought they will take out the shit as well but, alas, not always. Too many strips of prawn crackers. They should just serve it on the side.Giant wonton (x3) - too much skin and I could taste the oil. Won't order again.Noodles are good and will go back when I crave for noodles."
634439,634439,0Vtndsw7V6UXWKotN1_xwg,X8iuTWYz3zToT4RWa7aBUQ,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['LHwbwppAh32d1T15Vw5_lw', 'KQ4Vcz-qK2VP3hPfwvcJSg', 'mqG1h6dhrdk-e4jM-0a-ZA']",10/3/2015,4.0,"Located on the 3rd floor of Shaw Centre, I Want My Noodle makes their noodles fresh daily, imparting a bouncy texture to its wavy noodles. Derrick, the owner, personally sourced the materials for the furniture such as the metal pipes & wood as well arranging for the installations Popular selections are as follows:- double roast (char siew & roast meat) noodle $12.50- aromatic prawn noodle $14.50- lor bah noodle $12.90- pork noodle $8.90- homemade meatball soup $7.90"
634440,634440,MqekMnymk6O8JoJx1EzmGQ,Q1oMmm7tKPOzA7_gqcV4zg,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['WhbhJe0-fRAEfxMMkGMzyg', 'X_p-Itka1DqBcBDYq55nZw', '9QZskYTG2txN4abzd_2K_Q']",4/9/2015,3.0,"Maybe this should be 3.5 stars. I like the noodles but I am not crazy in love with it. I have walked past this place many times whenever I dined at The Ship which is just next door, and it is always (still is for now) quiet with only a few (or none) tables occupied. As fate will have it, I happened to see two friends posting pics and raving about this place on different days but in a week, so that got me interested. Especially when one Indo friend said it is very similar to chicken bakmie which is my all time favorite Indo noodle dish. I had that and the noodle was very springy and it was a close replica. All that was missing was kecap manis. It was a generous bowl with lots of chopped chicken, juicy mushrooms, veggies, fried onions and pretty small pieces of lard. So yummy. The soup was slightly sweet and was a bit thicker than the usual clear soup. During lunch time, you can create your set with a ""add-on"" for extra moolah. One add-on per noodle bowl. I had the pebbles which were fried sweet potato balls. They were nice but not really my type of dessert, too chewy like mochi which others may like. The highlight of this place would be the fact they made their own egg noodles and apparently they sourced their ingredients from the wet market so sometimes certain items would not be available if they did not manage to buy the ingredients. Service was good with friendly and helpful staff. Just write your order on the chit provided and pay at the cashier. They only accept cash, so do stop by the ATM before heading over. It can add up to a hefty amount if you order more sides and drinks. Things I will want to try next time - giant fried wantons, fried chicken wings, meatball soup, lemongrass soda and avocado drink."
634441,634441,xSfqa6m_CdfCDGI9Y6T7xQ,2F38Uc4UNNbFVdyUUnBjOA,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['06rQe2jRe9GCrJ5sjT0y_w', 'iYK7hiu_ISDTXb6NqXrEgA', 'Dv1Wk-QpCHX9o3tEhxeTlg']",9/30/2015,3.0,"The causal restaurant is located at the 3rd floor. Although it is lunch time, the place is quite empty. The place has an open dining in concept.The restaurant has weekday set menuwith a topup menu.Weekday Set Meal ($9.90)Today the restaurant is having a weekday set meal which consists of My Chicken Noodle, one small salad and one soda. This all is for just $9.90 nett, which sounds like a great deal.My Chicken Noodle (usual $7.90)The noodle has a QQ texture, which reminds curly, hard, not as springy as the usual wanton type. It is made fresh daily in Indonesian style. Chilli paste is served separate in the spoon. If that is not enough for you, there is sliced chilli on the table to help yourself to. The noodle comes with a bowl of soup with a slice of radish in it. The soup is a bit too peppery.SaladThe spinach is dressed in light dressing and tastes light and crispy.Sago Pudding Dessert ($2.50 topup)Although there is a topup menu, the female staff at the counter refuses to let me topup. She says that she will charge me for ala carte prices should I wish to do so, although I have showed her the menu. In the end, I have to wait for a change of staff at the counter before sucessfully getting my request. So troublesome. The sago is light and does not taste too sweet with the gula melaka syrup.Overall the food is not bad except for my bad experience with the female staff."
634442,634442,VyOEzfYfcWGchP5i7MYkfQ,YJblj_SdFVw8_QvEVo_kag,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['RC-ZuYJD_A6rXHPgh6dxVQ', 'U9hMamxQFLLhyOOCnTj_Xw']",11/4/2016,4.0,"Whenever mentioning about Chinese cuisine, stir-fried noodle is always on our top picks. Around the Orchard area, there's a restaurant known for its non-MSG noodle: I Want My Noodles. I Want My Noodles is located inside Shaw Theatres. The dining place looks impressive thanks to its eye-catching décor with dreamy eye-bulbs hanging from the ceiling.We ordered their must-try dishes: My Noodle With Double Roast and My Lor Bah Noodle (thumbnail photo). The noodle strings are chewy, thinly shaped and not too oily. The chef had beautifully mixed in his secret sauce, resulting in a well-balanced noodle bowl. Charsiu meat was cooked perfectly, making it extremely soft. We especially love its sweetness and fragrance. The roasted pork was even more amazing. It was roasted twice, resulting in super crispy roasted skin. Our pork belly was also amazing- tender and melt-in-the-mouth. For vegetarian , Mushroom Noodle is a tasty and very affordable option.Recommendation: My Lor Bah Noodle (#1 on the menu), My Noodle with Double Roast (#2 on the menu)Read our Singapore Food Guide, visit us at : thecoupleeats.com/singap…"
634443,634443,joN6WWuqidRv5EGUV4Zsdw,Qr-WoW6Vye4aH3I-YZ2ZyQ,singapore,gPmD_yz_3DK6q8gmCfjpOA,"['G6IpTvkqUNMRjViM1UhSrg', 'ydInIDWKtmW9bjKjWVFv9w', 'J8KuIhu95TcjXv6dH03ynQ']",2/4/2016,4.0,"Before writing this review and eating it on the same day, I've tried this place a total of three times - 2 takeaways & 1 dining in.Came here on a Thursday around 11.30 am. Managed to avoid the lunch crowd. I'll give a review of what I've eaten so far.For takeaways, my mother normally take a metal container with her to contain the noodles and the ingredients to prevent the noodles from sticking in a lump. I always asked her to get me the chicken mushroom noodle as I am a fan of any kinds of mushrooms. Eating at home is different as the fried flour on the side was soggy at the time I was about to consume. I also tried the fried wantons. They were alright for me. The takeaway portion was reasonable for my consumption.During my dine in session, the Christmas promotion of crispy duck noodles was still on. Hence I got that thinking it would be similar to the crispy duck like the ones I had in Bali. I also had a side of sago pudding with gula Melaka base and coconut flakes sprinkled on the top. The noodles reminds me of the Khek noodles I had in Medan. It is springy and a texture that reminds me of my childhood. And the homemade chilli sauce on the bowl of noodles made the dish more spicy - to my liking. No complains on the noodles and the chilli sauce on the side.For the duck, the skin was crispy but the meat was not soft. Was a little disappointed with it but the garlic and chilli sauce on the stone bowl made increased the taste - sour and spicy mix. The fried tofu with vegetables in the inside was a little disappointing. Was oily and a little bit tasteless. The dessert (no picture) that I got was not one of my favorites either. Even though I like the mix of sago and gula Melaka, the texture and the combination of sweetness was not too impressive.Price wise it was reasonable especially when it is located at shaw center. Lighting was a little too dark - hence the color of the pictures did not turn well. Overall I will be back for its noodles. Will probably try different meats another time ;)"
634445,634445,fgkT98d0AT6W9GeXnXKp5Q,c6ZHZWqI_Q2XF5eUb2Iryw,singapore,gPmD_yz_3DK6q8gmCfjpOA,[],12/7/2016,3.0,I had the prawn noodle and it was good. Was it worrh paying $14? Probably not. But to be realistic about it you pay for service and convenience over going to hawker and paying $5. Will this be on top of my list when I have prawn noodle craving? Not really. Will I come back? Definitely if I'm in the area
634446,634446,nukUZ0vGIKJBYNY94fsadg,8O6tdyNF4g8haPXrrRDxWg,singapore,gPmD_yz_3DK6q8gmCfjpOA,[],1/10/2015,4.0,"The noodles here reminds me of the kind of noodles I get at Jakarta, i.e. chewy, bouncy, with texture. I'm also a fan of their fried wonton - the closest thing I've tasted to Bakmie GM's Pangsit Goreng, as well as their Avocado Shake. I'm definitely going to come back!"
634447,634447,gFgaf8lTH527JPCrHSxKyg,kh_vlcg_MLYzGO64xSiOxQ,singapore,gPmD_yz_3DK6q8gmCfjpOA,[],11/24/2016,4.0,"The noodles are excellent and have an unusually firm, springy texture that went well served in soup or dry. The wonton soup came in a rich seafood broth. The truffle noodles were served dry accompanied with a bowl of vegetable soup as were the double pork noodles. The chicken noodle soup came in a chicken broth. The least memorable was the meatball soup. The chicken wings were OK. The ice tea came with a scoop of lemon sorbet."
